Pedigree.id	Pedigree.dam	Pedigree.sire	Pedigree.LLRdam	Pedigree.LLRsire	Pedigree.LLRpair	Pedigree.OHdam	Pedigree.OHsire	Pedigree.MEpair
Af_10	NA	NA	NA	NA	NA	NA	NA	NA
Af_100	NA	NA	NA	NA	NA	NA	NA	NA
Af_101	F0030	NA	8.34	NA	NA	NA	NA	NA
Af_102	NA	NA	NA	NA	NA	NA	NA	NA
Af_103	NA	NA	NA	NA	NA	NA	NA	NA
Af_104	NA	NA	NA	NA	NA	NA	NA	NA
Af_106	F0003	Af_477-98	0.63	13.19	1.3	NA	2	NA
Af_107	NA	NA	NA	NA	NA	NA	NA	NA
Af_108	NA	NA	NA	NA	NA	NA	NA	NA
Af_109	NA	NA	NA	NA	NA	NA	NA	NA
Af_112	NA	NA	NA	NA	NA	NA	NA	NA
Af_113	NA	NA	NA	NA	NA	NA	NA	NA
Af_114	NA	NA	NA	NA	NA	NA	NA	NA
Af_116	NA	NA	NA	NA	NA	NA	NA	NA
Af_117	NA	NA	NA	NA	NA	NA	NA	NA
Af_118	NA	NA	NA	NA	NA	NA	NA	NA
Af_119	NA	NA	NA	NA	NA	NA	NA	NA
Af_12	F0030	Af_336	-1.95	0	6.82	NA	3	NA
Af_120	NA	NA	NA	NA	NA	NA	NA	NA
Af_121	Af_160	Af_216	9.05	4.04	12.09	2	4	7
Af_123	NA	NA	NA	NA	NA	NA	NA	NA
Af_124	F0032	M0004	2.36	6.22	4.21	NA	NA	NA
Af_125	F0003	M0024	7.76	0.52	11.29	NA	NA	NA
Af_126	NA	M0027	NA	0	NA	NA	NA	NA
Af_128	NA	NA	NA	NA	NA	NA	NA	NA
Af_129	NA	NA	NA	NA	NA	NA	NA	NA
Af_13	NA	NA	NA	NA	NA	NA	NA	NA
Af_130	NA	NA	NA	NA	NA	NA	NA	NA
Af_132	Af_53	NA	12.88	NA	NA	2	NA	NA
Af_133	Af_49	M0007	13.88	0	-0.79	1	NA	NA
Af_134	F0023	M0019	4.86	11.72	13.29	NA	NA	NA
Af_135	NA	NA	NA	NA	NA	NA	NA	NA
Af_136	NA	NA	NA	NA	NA	NA	NA	NA
Af_137	F0013	Af_663	1.16	14.26	6.16	NA	1	NA
Af_138	NA	NA	NA	NA	NA	NA	NA	NA
Af_14	NA	NA	NA	NA	NA	NA	NA	NA
Af_140	NA	NA	NA	NA	NA	NA	NA	NA
Af_141	NA	NA	NA	NA	NA	NA	NA	NA
Af_142	NA	NA	NA	NA	NA	NA	NA	NA
Af_143	F0008	Af_237	2.57	12.36	8.12	NA	0	NA
Af_146	NA	NA	NA	NA	NA	NA	NA	NA
Af_147	NA	NA	NA	NA	NA	NA	NA	NA
Af_15	NA	M0007	NA	0	NA	NA	NA	NA
Af_150	NA	NA	NA	NA	NA	NA	NA	NA
Af_152	F0020	M0017	2.4	10.62	10.7	NA	NA	NA
Af_153	NA	NA	NA	NA	NA	NA	NA	NA
Af_154	NA	NA	NA	NA	NA	NA	NA	NA
Af_155	F0023	M0017	5.23	6.86	13.15	NA	NA	NA
Af_156	F0020	M0017	0	0	9.51	NA	NA	NA
Af_157	NA	NA	NA	NA	NA	NA	NA	NA
Af_158	F0009	Af_237	12.88	12.17	16.65	NA	1	NA
Af_159	NA	NA	NA	NA	NA	NA	NA	NA
Af_160	NA	NA	NA	NA	NA	NA	NA	NA
Af_161	NA	NA	NA	NA	NA	NA	NA	NA
Af_162	NA	NA	NA	NA	NA	NA	NA	NA
Af_163	NA	NA	NA	NA	NA	NA	NA	NA
Af_164	NA	NA	NA	NA	NA	NA	NA	NA
Af_165	Af_342-633	Af_216	35.77	8.7	13.25	3	2	6
Af_166	NA	NA	NA	NA	NA	NA	NA	NA
Af_167	NA	NA	NA	NA	NA	NA	NA	NA
Af_169	F0034	M0023	0	0	3.31	NA	NA	NA
Af_17	NA	NA	NA	NA	NA	NA	NA	NA
Af_170	NA	NA	NA	NA	NA	NA	NA	NA
Af_171	NA	M0005	NA	16.19	NA	NA	NA	NA
Af_173	NA	NA	NA	NA	NA	NA	NA	NA
Af_174	F0023	M0017	0.24	4.83	13.92	NA	NA	NA
Af_175	F0031	M0021	0	0	4.8	NA	NA	NA
Af_18	Af_53	Af_336	12.15	15.3	23.35	2	3	9
Af_183	NA	NA	NA	NA	NA	NA	NA	NA
Af_184	NA	NA	NA	NA	NA	NA	NA	NA
