founders type generation contribution sex
Af_160 genetic gen2 NA female
Af_160 genetic gen1 NA female
Af_160 genealogical gen3 0.0510204081632653 female
Af_160 genealogical gen2 0.0510204081632653 female
Af_160 genetic gen3 0.0144508670520231 female
Af_160 genealogical gen4 0.0510204081632653 female
Af_160 genealogical gen1 NA female
Af_160 genetic gen4 0.0277777777777778 female
Af_161 genetic gen1 NA female
Af_161 genealogical gen1 NA female
Af_161 genetic gen4 0.0111111111111111 female
Af_161 genealogical gen4 0 female
Af_161 genealogical gen3 0 female
Af_161 genealogical gen2 NA female
Af_161 genetic gen2 NA female
Af_161 genetic gen3 NA female
Af_23-604 genetic gen3 0.00578034682080925 male
Af_23-604 genealogical gen4 0.0204081632653061 male
Af_23-604 genetic gen2 NA male
Af_23-604 genetic gen1 NA male
Af_23-604 genealogical gen1 NA male
Af_23-604 genealogical gen3 0.0204081632653061 male
Af_23-604 genealogical gen2 0.0204081632653061 male
Af_23-604 genetic gen4 0.0111111111111111 male
Af_237 genealogical gen1 0 male
Af_237 genetic gen3 0.104768786127168 male
Af_237 genetic gen2 0.184948979591837 male
Af_237 genetic gen4 0.201388888888889 male
Af_237 genealogical gen4 0.535569449359705 male
Af_237 genealogical gen3 0.357791671581928 male
Af_237 genetic gen1 0 male
Af_237 genealogical gen2 0.26530612244898 male
Af_245-61 genetic gen4 0.00555555555555556 male
Af_245-61 genetic gen2 NA male
Af_245-61 genealogical gen3 0 male
Af_245-61 genetic gen3 NA male
Af_245-61 genealogical gen4 0 male
Af_245-61 genetic gen1 NA male
Af_245-61 genealogical gen2 NA male
Af_245-61 genealogical gen1 NA male
Af_258 genealogical gen1 0 female
Af_258 genetic gen4 0.0388888888888889 female
Af_258 genetic gen1 0 female
Af_258 genealogical gen2 0.0102040816326531 female
Af_258 genetic gen3 0.0202312138728324 female
Af_258 genetic gen2 0.0357142857142857 female
Af_258 genealogical gen4 0.196010118883777 female
Af_258 genealogical gen3 0.0737878966615548 female
Af_288 genealogical gen1 NA male
Af_288 genealogical gen4 0 male
Af_288 genealogical gen3 0 male
Af_288 genealogical gen2 NA male
Af_288 genetic gen2 NA male
Af_288 genetic gen4 0.0111111111111111 male
Af_288 genetic gen3 NA male
Af_288 genetic gen1 NA male
Af_302 genetic gen4 0.0166666666666667 female
Af_302 genetic gen1 NA female
Af_302 genetic gen3 0.00867052023121387 female
Af_302 genetic gen2 NA female
Af_302 genealogical gen2 0.0306122448979592 female
Af_302 genealogical gen4 0.0306122448979592 female
Af_302 genealogical gen3 0.0306122448979592 female
Af_302 genealogical gen1 NA female
Af_324 genetic gen1 NA female
Af_324 genealogical gen2 0.0102040816326531 female
Af_324 genetic gen4 0.00555555555555556 female
Af_324 genetic gen2 NA female
Af_324 genealogical gen1 NA female
Af_324 genetic gen3 0.00289017341040462 female
Af_324 genealogical gen3 0.0102040816326531 female
Af_324 genealogical gen4 0.0102040816326531 female
Af_330-645 genealogical gen4 0 female
Af_330-645 genealogical gen2 NA female
Af_330-645 genetic gen4 0.00555555555555556 female
Af_330-645 genealogical gen3 0 female
Af_330-645 genetic gen3 NA female
Af_330-645 genetic gen1 NA female
Af_330-645 genealogical gen1 NA female
Af_330-645 genetic gen2 NA female
Af_39 genealogical gen3 0 female
Af_39 genetic gen4 0.0111111111111111 female
Af_39 genealogical gen2 NA female
Af_39 genealogical gen4 0 female
Af_39 genealogical gen1 NA female
Af_39 genetic gen1 NA female
Af_39 genetic gen2 NA female
Af_39 genetic gen3 NA female
Af_416-479 genetic gen2 NA female
Af_416-479 genetic gen1 NA female
Af_416-479 genetic gen4 0.00555555555555556 female
Af_416-479 genealogical gen3 0.0102040816326531 female
Af_416-479 genealogical gen2 0.0102040816326531 female
Af_416-479 genealogical gen1 NA female
Af_416-479 genetic gen3 0.00289017341040462 female
Af_416-479 genealogical gen4 0.0102040816326531 female
Af_477-98 genealogical gen1 NA male
Af_477-98 genetic gen4 0.0388888888888889 male
Af_477-98 genealogical gen2 0.0714285714285714 male
Af_477-98 genetic gen1 NA male
Af_477-98 genetic gen3 0.0202312138728324 male
Af_477-98 genetic gen2 NA male
Af_477-98 genealogical gen4 0.0714285714285714 male
Af_477-98 genealogical gen3 0.0714285714285714 male
Af_49 genealogical gen2 0.0612244897959184 female
Af_49 genealogical gen1 NA female
Af_49 genetic gen4 0.0333333333333333 female
Af_49 genetic gen3 0.0173410404624277 female
Af_49 genetic gen2 NA female
Af_49 genetic gen1 NA female
Af_49 genealogical gen3 0.0612244897959184 female
Af_49 genealogical gen4 0.0612244897959184 female
Af_490 genealogical gen4 0 female
Af_490 genealogical gen2 NA female
Af_490 genetic gen1 NA female
Af_490 genealogical gen3 0 female
Af_490 genetic gen4 0.0111111111111111 female
Af_490 genetic gen2 NA female
Af_490 genetic gen3 NA female
Af_490 genealogical gen1 NA female
Af_511 genealogical gen4 0.0204081632653061 female
Af_511 genealogical gen1 NA female
Af_511 genetic gen1 NA female
Af_511 genealogical gen2 0.0204081632653061 female
Af_511 genetic gen4 0.0111111111111111 female
Af_511 genetic gen2 NA female
Af_511 genealogical gen3 0.0204081632653061 female
Af_511 genetic gen3 0.00578034682080925 female
Af_522 genealogical gen4 0 male
Af_522 genealogical gen3 0 male
Af_522 genetic gen1 NA male
Af_522 genealogical gen2 NA male
Af_522 genetic gen2 NA male
Af_522 genealogical gen1 NA male
Af_522 genetic gen3 NA male
Af_522 genetic gen4 0.0111111111111111 male
Af_53 genealogical gen2 0.0306122448979592 female
Af_53 genealogical gen3 0.0306122448979592 female
Af_53 genetic gen4 0.0166666666666667 female
Af_53 genealogical gen1 NA female
Af_53 genetic gen1 NA female
Af_53 genealogical gen4 0.0306122448979592 female
Af_53 genetic gen2 NA female
Af_53 genetic gen3 0.00867052023121387 female
Af_562 genealogical gen4 0 male
Af_562 genetic gen1 NA male
Af_562 genealogical gen3 0 male
Af_562 genetic gen2 NA male
Af_562 genealogical gen1 NA male
Af_562 genetic gen3 NA male
Af_562 genealogical gen2 NA male
Af_562 genetic gen4 0.0111111111111111 male
Af_589 genealogical gen2 0.0408163265306122 female
Af_589 genealogical gen1 NA female
Af_589 genealogical gen3 0.0408163265306122 female
Af_589 genealogical gen4 0.0408163265306122 female
Af_589 genetic gen4 0.0222222222222222 female
Af_589 genetic gen1 NA female
Af_589 genetic gen3 0.0115606936416185 female
Af_589 genetic gen2 NA female
Af_591 genetic gen1 NA female
Af_591 genealogical gen4 0.0612244897959184 female
Af_591 genetic gen4 0.0333333333333333 female
Af_591 genealogical gen1 NA female
Af_591 genealogical gen3 0.0612244897959184 female
Af_591 genealogical gen2 0.0612244897959184 female
