SampleID_1	SampleID_2	TopRel	LLR	OH	BirthYear1	BirthYear2	AgeDif	Sex1	Sex2	SNPdBoth
Af_332	Af_618	PO	14.6	0	NA	NA	NA	3	3	689
Af_573	Af_657	PO	12.76	0	NA	NA	NA	3	3	693
Af_39	Af_576	PO	12.09	0	NA	NA	NA	3	3	664
Af_302	Af_492	PO	11.74	0	NA	NA	NA	3	3	691
Af_484	Af_583	PO	11.7	0	NA	NA	NA	3	3	688
Af_39	Af_608	PO	11.6	1	NA	NA	NA	3	3	696
Af_480	Af_23-604	PO	11.59	0	NA	NA	NA	3	3	681
Af_143	Af_237	PO	11.57	0	NA	NA	NA	3	3	651
Af_177-615	Af_342-633	PO	11.53	1	NA	NA	NA	3	3	693
Af_227	Af_662	PO	11.51	1	NA	NA	NA	3	3	687
Af_227	Af_396	PO	11.17	0	NA	NA	NA	3	3	671
Af_573	Af_489-593	PO	10.86	0	NA	NA	NA	3	3	691
Af_137	Af_301	PO	10.8	0	NA	NA	NA	3	3	682
Af_370	Af_631	PO	10.79	0	NA	NA	NA	3	3	681
Af_227	Af_445	PO	10.78	0	NA	NA	NA	3	3	672
Af_137	Af_318	PO	10.65	1	NA	NA	NA	3	3	686
Af_625	Af_342-633	PO	10.64	0	NA	NA	NA	3	3	691
Af_657	Af_619-668	PO	10.48	1	NA	NA	NA	3	3	687
Af_302	Af_452	PO	10.31	0	NA	NA	NA	3	3	692
Af_39	Af_556	PO	10.23	1	NA	NA	NA	3	3	683
Af_227	Af_237	PO	10.09	0	NA	NA	NA	3	3	649
Af_137	Af_249	PO	10.06	0	NA	NA	NA	3	3	673
Af_137	Af_663	PO	10.04	1	NA	NA	NA	3	3	666
Af_447	Af_105-180	PO	10.03	1	NA	NA	NA	3	3	695
Af_177-615	Af_348-360	PO	9.97	1	NA	NA	NA	3	3	678
Af_644	Af_330-645	PO	9.85	0	NA	NA	NA	3	3	692
Af_39	Af_653	PO	9.84	2	NA	NA	NA	3	3	690
Af_39	Af_590	PO	9.81	2	NA	NA	NA	3	3	676
Af_558	Af_589	PO	9.69	1	NA	NA	NA	3	3	675
Af_378	Af_39	PO	9.57	0	NA	NA	NA	3	3	692
Af_227	Af_494	PO	9.53	0	NA	NA	NA	3	3	686
Af_227	Af_492	PO	9.5	0	NA	NA	NA	3	3	689
Af_46	Af_591	PO	9.4	3	NA	NA	NA	3	3	664
Af_387	Af_591	PO	9.3	1	NA	NA	NA	3	3	669
Af_628	Af_682	PO	9.09	0	NA	NA	NA	3	3	680
Af_344	Af_583	PO	9	0	NA	NA	NA	3	3	685
Af_452	Af_644	PO	8.98	1	NA	NA	NA	3	3	692
Af_227	Af_481	PO	8.93	1	NA	NA	NA	3	3	688
Af_137	Af_558	PO	8.92	0	NA	NA	NA	3	3	692
Af_671	Af_342-633	PO	8.83	0	NA	NA	NA	3	3	686
Af_324	Af_583	PO	8.79	2	NA	NA	NA	3	3	687
Af_438	Af_589	PO	8.76	0	NA	NA	NA	3	3	675
Af_324	Af_603	PO	8.7	1	NA	NA	NA	3	3	692
Af_505	Af_177-615	PO	8.66	0	NA	NA	NA	3	3	689
Af_279	Af_89	PO	8.61	3	NA	NA	NA	3	3	616
Af_31	Af_81	PO	8.6	1	NA	NA	NA	3	3	627
Af_489-593	Af_619-668	PO	8.57	2	NA	NA	NA	3	3	685
Af_573	Af_638	PO	8.53	1	NA	NA	NA	3	3	659
Af_461	Af_177-615	PO	8.47	0	NA	NA	NA	3	3	690
Af_338	Af_505	PO	8.42	0	NA	NA	NA	3	3	685
Af_327	Af_591	PO	8.39	1	NA	NA	NA	3	3	666
Af_20	Af_496	PO	8.35	0	NA	NA	NA	3	3	687
Af_511	Af_681	PO	8.34	0	NA	NA	NA	3	3	686
Af_522	Af_541	PO	8.3	0	NA	NA	NA	3	3	681
Af_104	Af_133	PO	8.27	2	NA	NA	NA	3	3	679
Af_53	Af_59	PO	8.15	1	NA	NA	NA	3	3	657
Af_101	Af_269-66-73	PO	8.14	2	NA	NA	NA	3	3	653
Af_343	Af_639	PO	8.14	1	NA	NA	NA	3	3	640
Af_160	Af_25	PO	8.12	1	NA	NA	NA	3	3	682
Af_463	Af_584	PO	8.07	2	NA	NA	NA	3	3	688
Af_251	Af_570-571	PO	8.02	0	NA	NA	NA	3	3	682
Af_294	Af_488	PO	8	1	NA	NA	NA	3	3	686
Af_203	Af_663	PO	8	2	NA	NA	NA	3	3	664
Af_227	Af_478	PO	7.98	0	NA	NA	NA	3	3	686
Af_565	Af_589	PO	7.93	0	NA	NA	NA	3	3	675
Af_329	Af_562	PO	7.92	2	NA	NA	NA	3	3	689
Af_315	Af_584	PO	7.79	1	NA	NA	NA	3	3	685
Af_54	Af_570-571	PO	7.77	0	NA	NA	NA	3	3	682
Af_336	Af_81	PO	7.73	1	NA	NA	NA	3	3	623
Af_111-550	Af_342-633	PO	7.63	0	NA	NA	NA	3	3	685
Af_39	Af_572	PO	7.63	2	NA	NA	NA	3	3	688
Af_20	Af_639	PO	7.61	3	NA	NA	NA	3	3	642
Af_227	Af_462	PO	7.56	0	NA	NA	NA	3	3	692
Af_132	Af_53	PO	7.51	2	NA	NA	NA	3	3	687
Af_336	Af_11-84	PO	7.46	2	NA	NA	NA	3	3	661
Af_490	Af_554	PO	7.44	0	NA	NA	NA	3	3	684
Af_20	Af_508	PO	7.4	0	NA	NA	NA	3	3	690
Af_405	Af_309-380-482	PO	7.39	2	NA	NA	NA	3	3	654
Af_338	Af_371	PO	7.39	0	NA	NA	NA	3	3	689
Af_650	Af_127-319	PO	7.33	1	NA	NA	NA	3	3	683
Af_227	Af_395	PO	7.25	1	NA	NA	NA	3	3	680
Af_443	Af_477-98	PO	7.25	3	NA	NA	NA	3	3	682
Af_584	Af_609	PO	7.18	0	NA	NA	NA	3	3	682
Af_472	Af_23-604	PO	7.17	2	NA	NA	NA	3	3	682
Af_227	Af_666	PO	7.17	0	NA	NA	NA	3	3	683
Af_444	Af_552-606	PO	7.16	2	NA	NA	NA	3	3	668
Af_49	Af_636	PO	7.15	1	NA	NA	NA	3	3	651
Af_581	Af_309-380-482	PO	7.14	0	NA	NA	NA	3	3	654
Af_506	Af_583	PO	7.06	1	NA	NA	NA	3	3	683
Af_20	Af_487	PO	7.04	0	NA	NA	NA	3	3	690
Af_353	Af_395	PO	7.03	3	NA	NA	NA	3	3	678
Af_495	Af_629	PO	7.01	3	NA	NA	NA	3	3	684
Af_333	Af_127-319	PO	6.93	0	NA	NA	NA	3	3	680
Af_599	Af_330-645	PO	6.86	0	NA	NA	NA	3	3	687
Af_155	Af_448	PO	6.84	0	NA	NA	NA	3	3	661
Af_101	Af_78	PO	6.83	1	NA	NA	NA	3	3	669
Af_302	Af_445	PO	6.77	2	NA	NA	NA	3	3	674
Af_564	Af_644	PO	6.72	1	NA	NA	NA	3	3	691
Af_562	Af_600	PO	6.71	2	NA	NA	NA	3	3	686
Af_160	Af_75	PO	6.66	2	NA	NA	NA	3	3	674
Af_459	Af_583	PO	6.44	2	NA	NA	NA	3	3	678
Af_378	Af_588	PO	6.44	2	NA	NA	NA	3	3	648
Af_124	Af_483	PO	6.43	0	NA	NA	NA	3	3	686
Af_106	Af_477-98	PO	6.4	2	NA	NA	NA	3	3	682
Af_161	Af_616	PO	6.4	0	NA	NA	NA	3	3	666
Af_124	Af_370	PO	6.39	2	NA	NA	NA	3	3	689
Af_336	Af_649	PO	6.39	3	NA	NA	NA	3	3	689
Af_251	Af_39	PO	6.34	1	NA	NA	NA	3	3	684
Af_54	Af_590	PO	6.32	1	NA	NA	NA	3	3	670
Af_522	Af_536	PO	6.3	0	NA	NA	NA	3	3	668
Af_584	Af_632	PO	6.3	1	NA	NA	NA	3	3	687
Af_584	Af_648	PO	6.21	2	NA	NA	NA	3	3	680
Af_265	Af_70	PO	6.21	3	NA	NA	NA	3	3	673
Af_302	Af_662	PO	6.14	3	NA	NA	NA	3	3	689
Af_37	Af_40	PO	6.11	2	NA	NA	NA	3	3	628
Af_160	Af_34	PO	6.07	2	NA	NA	NA	3	3	679
Af_336	Af_587	PO	6.06	2	NA	NA	NA	3	3	653
Af_522	Af_525	PO	6.02	2	NA	NA	NA	3	3	678
Af_20	Af_60	PO	6.02	2	NA	NA	NA	3	3	688
Af_315	Af_245-61	PO	6.01	1	NA	NA	NA	3	3	684
Af_564	Af_309-380-482	PO	6.01	1	NA	NA	NA	3	3	657
Af_22-660	Af_477-98	PO	5.99	2	NA	NA	NA	3	3	681
Af_332	Af_567	PO	5.99	3	NA	NA	NA	3	3	691
Af_161	Af_500	PO	5.9	2	NA	NA	NA	3	3	681
Af_474	Af_70	PO	5.84	3	NA	NA	NA	3	3	672
Af_338	Af_348-360	PO	5.83	0	NA	NA	NA	3	3	674
Af_316	Af_584	PO	5.81	2	NA	NA	NA	3	3	682
Af_353	Af_639	PO	5.81	1	NA	NA	NA	3	3	639
Af_227	Af_468	PO	5.74	1	NA	NA	NA	3	3	690
Af_289	Af_336	PO	5.7	2	NA	NA	NA	3	3	684
Af_352	Af_456	PO	5.67	0	NA	NA	NA	3	3	679
Af_311	Af_682	PO	5.65	1	NA	NA	NA	3	3	685
Af_600	Af_658	PO	5.64	3	NA	NA	NA	3	3	687
Af_646	Af_477-98	PO	5.53	1	NA	NA	NA	3	3	682
Af_472	Af_511	PO	5.53	2	NA	NA	NA	3	3	687
Af_227	Af_627	PO	5.53	1	NA	NA	NA	3	3	674
Af_317	Af_583	PO	5.44	1	NA	NA	NA	3	3	676
Af_338	Af_92	PO	5.41	1	NA	NA	NA	3	3	679
Af_288	Af_616	PO	5.38	1	NA	NA	NA	3	3	664
Af_642	Af_105-180	PO	5.24	0	NA	NA	NA	3	3	688
