Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_1	341770	f	NA	Feb	2017	2016/2017	NA	Plot	0
Af_2	342408	f	juv?	Oct	2016	2016/2017	2015	Plot	0
Af_3	341767	m	ad?	Feb	2017	2016/2017	2016	Plot	0
Af_4	341319	f	NA	Dec	2016	2016/2017	NA	Plot	0
Af_5	342409	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_6	341660	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_7	342240	m	juv?	Sep	2016	2016/2017	2016	Plot	1
Af_8	341827	f	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_9	341907	f	juv	Sep	2016	2016/2017	2016	Plot	0
Af_10	341818	f	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_11	342231	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_12	342242	f	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_13	341807	f	ad?	Oct	2016	2016/2017	2015	Plot	0
Af_14	341811	m	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_15	341863	m	ad?	Sep	2016	2016/2017	2015	Plot	0
Af_16	341796	m	juv	July	2016	2016/2017	NA	Plot	1
Af_17	341906	m	juv?	Sep	2016	2016/2017	2016	Plot	0
Af_18	341748	f	juv	Nov	2016	2016/2017	2016	Plot	0
Af_19	341771	f	NA	Feb	2017	2016/2017	NA	Plot	0
Af_20	341425	f	ad	July	2017	2017/2018	2016	Plot	0
Af_21	341642	f	juv	Sep	2016	2016/2017	2016	Plot	1
Af_22	341312	f	juv?	Dec	2016	2016/2017	2016	Plot	1
Af_23	341757	m	NA	Feb	2017	2016/2017	NA	Plot	1
Af_24	342248	m	NA	Sep	2016	2016/2017	NA	Plot	0
Af_25	1316222	m	juv	July	2016	2016/2017	2016	Plot	0
Af_26	342419	f	juv	Oct	2016	2016/2017	2016	Plot	0
Af_27	342223	m	juv	Dec	2016	2016/2017	2016	Plot	0
Af_28	341797	m	juv	Sep	2016	2016/2017	2016	Plot	1
Af_29	342410	m	juv?	Oct	2016	2016/2017	2016	Plot	0
Af_30	341869	m	juv	Sep	2016	2016/2017	2016	Plot	0
Af_31	341304	m	NA	Dec	2016	2016/2017	NA	Plot	0
