sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_1	primary	4.72	2.96	33	39317	25.6
Af_10	primary	8.2	4.6	39	481493	76.2
Af_100	primary	12.63	7.58	69	904630	72.3
Af_101	primary	19.56	12.09	91	1507838	74.5
Af_102	primary	9.13	5.47	47	581752	74.8
Af_103	primary	22.83	14.02	105	1759265	79.8
Af_104	primary	15.09	9.04	69	1092036	80.0
Af_106	primary	24.78	15.88	170	1920182	79.1
Af_107	primary	14.01	8.64	74	1007211	75.7
Af_108	primary	10.72	6.73	57	730426	76.1
Af_109	primary	8.7	5.9	72	538978	69.0
Af_112	primary	16.58	10.23	74	1191055	77.0
Af_113	primary	13.73	8.75	73	1024104	69.6
Af_114	primary	9.85	6.07	51	646600	75.5
Af_116	primary	13.73	8.17	71	974758	79.9
Af_117	primary	30.54	21.53	214	2479906	78.7
Af_118	primary	22.07	13.74	100	1680368	81.4
Af_119	primary	16.54	9.77	88	1209807	78.2
Af_12	primary	6.4	8.12	137	175128	38.6
Af_120	primary	30.62	21.64	147	2436566	79.7
Af_121	primary	11.23	6.74	57	773036	77.1
Af_123	primary	13.6	8.05	63	964941	79.3
Af_124	primary	22.03	13.44	99	1678829	77.5
Af_125	primary	16.31	9.9	82	1205994	77.1
Af_126	primary	9.23	5.63	48	588464	73.9
Af_128	primary	14.71	8.8	79	1055595	78.6
Af_129	primary	12.48	7.57	79	881581	75.5
Af_13	primary	11.11	6.69	61	730677	77.1
Af_130	primary	18.65	11.18	82	1386607	81.2
Af_132	primary	18.9	11.28	98	1416148	77.8
Af_133	primary	17.1	10.63	78	1268792	79.6
Af_134	primary	14.19	8.89	73	1002418	78.6
Af_135	primary	16.3	10.18	115	1185780	78.6
Af_136	primary	25.76	15.89	132	1994353	77.8
Af_137	primary	18.4	10.86	91	1362204	79.7
Af_138	primary	14.55	9.1	67	1038314	79.7
Af_14	primary	15.1	9.44	77	1044458	78.0
Af_140	primary	14.66	8.61	65	1037085	79.8
Af_141	primary	14.79	8.65	71	1060951	77.2
Af_142	primary	15.42	9.2	73	1115126	79.7
Af_143	primary	17.53	10.21	79	1303065	79.3
Af_146	primary	11.25	6.86	58	758474	76.0
Af_147	primary	14.13	8.8	119	1007755	76.8
Af_15	primary	23.41	14.66	114	1723550	80.6
Af_150	primary	9.32	5.45	43	602177	75.7
Af_152	primary	13.44	7.88	69	959621	78.8
Af_153	primary	10.33	5.89	47	700284	74.4
Af_154	primary	16.18	9.55	71	1185287	78.6
Af_155	primary	14.27	8.99	98	1026632	77.7
Af_156	primary	11.65	7.07	60	807832	77.1
Af_157	primary	7.84	4.58	40	462487	72.3
Af_158	primary	10.42	6.38	49	696656	73.8
Af_159	primary	10.84	6.46	57	739583	74.7
Af_160	primary	34.69	22.26	191	2818347	79.0
Af_161	primary	24.49	15.07	124	1908372	79.9
Af_162	primary	12.57	7.64	58	888897	78.0
Af_163	primary	15.22	9.11	69	1117817	76.7
Af_164	primary	10.33	5.96	45	691985	76.9
Af_165	primary	10.16	6.12	60	660025	70.6
Af_166	primary	31.1	19.67	156	2453926	82.6
Af_167	primary	13	7.56	59	932244	76.3
Af_169	primary	15.77	9.71	70	1154649	75.1
Af_17	primary	8.48	5.19	41	488337	74.3
Af_170	primary	14.92	9.3	72	1068773	80.0
Af_171	primary	12.39	7.41	58	862336	76.7
Af_173	primary	11.56	7.14	56	801138	71.5
Af_174	primary	10.18	6.08	57	676166	76.5
Af_175	primary	17.44	10.41	90	1295229	80.2
Af_18	primary	10.1	5.88	50	649681	77.7
Af_183	primary	16.24	10.13	78	1189431	76.6
Af_184	primary	25.45	15.7	167	1936402	79.7
Af_185	primary	13.56	7.93	77	963997	75.8
Af_186	primary	12.46	7.52	59	863168	79.7
Af_187	primary	36.43	24.22	194	2938395	81.8
Af_188	primary	10.23	5.86	52	677901	78.5
Af_189	primary	9.75	5.64	62	641405	78.3
Af_19	primary	28.79	18.77	151	2185292	78.4
Af_190	primary	11.73	6.9	82	804220	76.4
Af_191	primary	18.87	11.28	89	1391922	79.9
Af_192	primary	19.72	12.2	106	1462482	80.9
Af_193	primary	20.12	13.17	116	1517730	77.8
Af_194	primary	38.95	77.07	322	85455	62.8
Af_195	primary	76.74	77.23	819	8440765	70.6
Af_196	primary	65.12	104.09	391	84985	74.3
Af_197	primary	12.78	28.18	346	184992	32.9
Af_198	primary	30.08	19.82	157	2333294	80.4
Af_199	primary	60.82	42.86	309	5311402	80.4
Af_2	primary	13.61	8.91	111	942749	71.4
Af_20	primary	27.71	17.71	151	2079974	80.1
Af_201	primary	18.48	11.91	104	1330890	80.5
Af_202	primary	6.88	4.71	51	191439	63.1
Af_203	primary	24.89	17.2	140	1937083	80.7
Af_204	primary	46.25	33.18	264	3915991	82.0
Af_205	primary	10.33	6.74	89	678320	77.0
Af_206	primary	4.54	2.03	24	67564	47.9
Af_208	primary	5.37	2.73	29	167370	60.6
Af_209	primary	28.87	18.93	134	2327994	80.4
Af_210	primary	3.7	1.38	8	74	1.7
Af_211	primary	11.1	7.14	55	710436	79.8
Af_212	primary	4.57	1.95	19	95287	56.9
Af_213	primary	26.02	18.13	137	2013919	82.2
Af_214	primary	24.87	18.99	170	1912026	80.4
Af_215	primary	27.38	19.68	158	2133717	80.9
Af_216	primary	8.17	5.7	74	364396	69.6
Af_217	primary	3.57	1.35	16	3403	11.5
Af_218	primary	3.98	1.66	11	358	3.7
Af_219	primary	3.56	1.45	15	1661	8.0
Af_220	primary	3.65	1.54	12	350	3.6
Af_221	primary	41.24	30.25	233	3484627	81.0
Af_222	primary	3.78	1.31	19	17770	26.9
Af_223	primary	12.62	8.18	59	855014	80.6
Af_224	primary	5.19	2.5	25	148547	63.8
Af_225	primary	30.25	20.83	184	2408326	80.0
