Batch	ErrorRate
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.0271459
Batch_2	0.0475045
Batch_2	0.0589749
Batch_2	0.0507059
Batch_2	0.0462377
Batch_2	0.0409843
Batch_2	0.0393284
Batch_2	0.0330228
Batch_2	0.031089
Batch_2	0.0235842
Batch_2	0.0226761
Batch_2	0.0188854
Batch_2	0.0163968
Batch_2	0.0139546
Batch_2	0.0104259
Batch_2	0.00856508
Batch_2	0.00767503
Batch_2	0.00512976
Batch_2	0.00482716
Batch_2	0.00339745
Batch_2	0.00245948
Batch_2	0.00211974
Batch_2	0.0015657
Batch_2	0.000789547
Batch_2	0.00098345
Batch_2	0.000560339
Batch_2	0.000169892
Batch_2	0.000494563
Batch_2	0.00022492
Batch_2	0.000309326
Batch_2	0.000178481
Batch_2	0.000288104
Batch_2	4.11E-05
Batch_2	0.000370571
Batch_2	0.000141868
Batch_2	1.00E-10
Batch_2	5.00E-05
Batch_2	1.00E-10
Batch_2	3.97E-05
Batch_2	0.000139461
Batch_2	2.69E-05
Batch_2	0.000124117
Batch_2	7.80E-05
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	5.97E-05
Batch_2	0.000185674
Batch_2	1.00E-10
Batch_2	0.00022943
Batch_2	0.000266085
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.000783514
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.000377278
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.000332048
Batch_2	0.000889227
Batch_2	1.00E-10
Batch_2	0.000561856
Batch_2	0.000587345
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.000253316
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.00136351
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.00759644
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.00856999
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.5
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	0.5
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_2	1.00E-10
Batch_3	1.00E-10
Batch_3	0.0500397
Batch_3	0.0235217
Batch_3	0.022033
Batch_3	0.0149569
Batch_3	0.0121316
Batch_3	0.0116055
Batch_3	0.0076252
Batch_3	0.00543666
Batch_3	0.00507989
Batch_3	0.00505186
Batch_3	0.00299681
Batch_3	0.00315563
Batch_3	0.00265858
Batch_3	0.00369741
Batch_3	0.00341117
Batch_3	0.00403171
Batch_3	0.00336284
Batch_3	0.00411392
Batch_3	0.00298914
Batch_3	0.00333326
Batch_3	0.00433121
Batch_3	0.0041522
Batch_3	0.00415576
Batch_3	0.00336143
Batch_3	0.00524185
Batch_3	0.00433594
Batch_3	0.00699913
Batch_3	0.00694909
Batch_3	0.00823751
Batch_3	0.00719957
Batch_3	0.00861628
Batch_3	0.00883175
Batch_3	0.00937711
Batch_3	0.00881091
Batch_3	0.0122588
Batch_3	0.0128297
Batch_3	0.0135826
Batch_3	0.0127716
Batch_3	0.014017
Batch_3	0.0154589
Batch_3	0.0207015
Batch_3	0.0168618
Batch_3	0.0208051
Batch_3	0.0178338
Batch_3	0.0177553
Batch_3	0.0243721
Batch_3	0.0205153
Batch_3	0.0277466
Batch_3	0.0288274
Batch_3	0.02794
Batch_3	0.0280966
Batch_3	0.0324153
Batch_3	0.0354946
Batch_3	0.031398
Batch_3	0.0380366
Batch_3	0.0378356
Batch_3	0.0380813
Batch_3	0.0445638
Batch_3	0.0389927
Batch_3	0.0476689
Batch_3	0.0511531
Batch_3	0.0508148
Batch_3	0.0491624
Batch_3	0.0587824
Batch_3	0.0578334
Batch_3	0.0623451
Batch_3	0.0645239
Batch_3	0.0704302
Batch_3	0.0704059
Batch_3	0.0747171
Batch_3	0.0744867
Batch_3	0.0806503
Batch_3	0.0837284
Batch_3	0.0742578
Batch_3	0.0944749
Batch_3	0.089284
Batch_3	0.0921364
Batch_3	0.0937243
Batch_3	0.10346
Batch_3	0.108123
Batch_3	0.102869
Batch_3	0.0957929
Batch_3	0.110455
Batch_3	0.108314
Batch_3	0.113973
Batch_3	0.109496
Batch_3	0.10585
Batch_3	0.12832
Batch_3	0.124961
Batch_3	0.115899
Batch_3	0.142923
Batch_3	0.117914
Batch_3	0.140028
Batch_3	0.139032
Batch_3	0.142264
Batch_3	0.16246
Batch_3	0.128134
Batch_3	0.154096
Batch_3	0.145005
Batch_3	0.152468
Batch_3	0.141861
Batch_3	0.16892
Batch_3	0.163223
Batch_3	0.173863
Batch_3	0.171317
Batch_3	0.153437
Batch_3	0.169712
Batch_3	0.151352
Batch_3	0.205177
Batch_3	0.164487
Batch_3	0.167463
Batch_3	0.178068
Batch_3	0.193166
Batch_3	0.17446
Batch_3	0.174719
Batch_3	0.181427
Batch_3	0.188389
Batch_3	0.180234
Batch_3	0.196694
Batch_3	0.175391
Batch_3	0.239321
Batch_3	0.153447
Batch_3	0.218076
Batch_3	0.199743
Batch_3	0.22415
Batch_3	0.185924
Batch_3	0.206196
Batch_3	0.172531
Batch_3	0.243291
Batch_3	0.234653
Batch_3	0.150964
Batch_3	0.150034
Batch_3	0.202838
Batch_3	0.149305
Batch_3	0.369193
Batch_3	0.178576
Batch_3	0.14907
Batch_3	0.225448
Batch_3	0.118475
Batch_3	0.281277
Batch_3	1.00E-10
Batch_3	1.00E-10
Batch_3	0.0559337
Batch_3	0.0833336
Batch_3	1.00E-10
Batch_3	1
Batch_3	0.151782
Batch_3	0.342764
Batch_3	0.250002
Batch_3	0.240367
Batch_3	0.182964
