Sample	Group	Batch
Af_105	Group_1	Batch_2
Af_180	Group_1	Batch_2
Af_110	Group_2	Batch_2
Af_149	Group_2	Batch_2
Af_131	Group_3	Batch_2
Af_168	Group_3	Batch_2
Af_139	Group_4	Batch_2
Af_172	Group_4	Batch_2
Af_207	Group_4	Batch_3
Af_144	Group_5	Batch_2
Af_181	Group_5	Batch_2
Af_145	Group_6	Batch_2
Af_200	Group_6	Batch_2
Af_148	Group_7	Batch_2
Af_151	Group_7	Batch_2
Af_309	Group_8	Batch_4
Af_380	Group_8	Batch_4
Af_482	Group_8	Batch_5
Af_348	Group_9	Batch_4
Af_360	Group_9	Batch_4
Af_416	Group_10	Batch_5
Af_479	Group_10	Batch_5
Af_501	Group_11	Batch_6
Af_551	Group_11	Batch_6
Af_523	Group_12	Batch_6
Af_547	Group_12	Batch_6
Af_527	Group_13	Batch_6
Af_543	Group_13	Batch_6
Af_570	Group_14	Batch_6
Af_571	Group_14	Batch_6
Af_619	Group_15	Batch_7
Af_668	Group_15	Batch_7
Af_11	Group_16	Batch_1
Af_84	Group_16	Batch_1
Af_111	Group_17	Batch_2
Af_550	Group_17	Batch_6
Af_115	Group_18	Batch_2
Af_262	Group_18	Batch_3
Af_122	Group_19	Batch_2
Af_328	Group_19	Batch_4
Af_127	Group_20	Batch_2
Af_319	Group_20	Batch_4
Af_16 	Group_21	Batch_1
Af_634	Group_21	Batch_7
Af_176	Group_22	Batch_2
Af_229	Group_22	Batch_3
Af_177	Group_23	Batch_2
Af_615	Group_23	Batch_7
Af_178	Group_24	Batch_2
Af_28	Group_24	Batch_1
Af_179	Group_25	Batch_2
Af_79	Group_25	Batch_1
Af_182	Group_26	Batch_2
Af_449	Group_26	Batch_6
Af_21	Group_27	Batch_1
Af_243	Group_27	Batch_3
Af_62	Group_27	Batch_1
Af_226	Group_28	Batch_3
Af_57	Group_28	Batch_1
Af_22 	Group_29	Batch_1
Af_660	Group_29	Batch_7
Af_23	Group_30	Batch_1
Af_604	Group_30	Batch_7
Af_245	Group_31	Batch_3
Af_61 	Group_31	Batch_1
Af_259	Group_32	Batch_3
Af_42	Group_32	Batch_1
Af_264	Group_33	Batch_3
Af_369	Group_33	Batch_4
Af_269	Group_33	Batch_3
Af_66	Group_34	Batch_1
Af_73	Group_34	Batch_1
Af_276	Group_35	Batch_3
Af_339	Group_35	Batch_4
Af_314	Group_36	Batch_4
Af_641	Group_36	Batch_7
Af_330	Group_37	Batch_4
Af_645	Group_37	Batch_7
Af_342	Group_38	Batch_4
Af_633	Group_38	Batch_7
Af_347	Group_39	Batch_4
Af_82	Group_39	Batch_1
Af_373	Group_40	Batch_4
Af_7 	Group_40	Batch_1
Af_413	Group_41	Batch_5
Af_594	Group_41	Batch_7
Af_477	Group_42	Batch_5
Af_98	Group_42	Batch_1
Af_47 	Group_43	Batch_1
Af_605	Group_43	Batch_7
Af_489	Group_44	Batch_6
Af_593	Group_44	Batch_7
Af_539	Group_45	Batch_6
Af_647	Group_45	Batch_7
Af_552	Group_46	Batch_6
Af_606	Group_46	Batch_7
Af_560	Group_47	Batch_6
Af_561	Group_47	Batch_6
